name;src_file;src_line;total_ns;total_perc;counts;mean_ns;min_ns;max_ns;std_ns
plugin cleanup{plugin="bevy_render::gpu_readback::GpuReadbackPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;56;0.000000;1;56;56;56;0.000000
plugin finish{plugin="forgia_qa_core::plugin::ForgiaQaCorePlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;142;0.000000;1;142;142;142;0.000000
system{name="bevy_sprite_render::mesh2d::material::queue_material2d_meshes<bevy_sprite_render::tilemap_chunk::tilemap_chunk_material::TilemapChunkMaterial>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;6119371;0.006614;18162;336;127;7327;185.134366
plugin build{plugin="forgia_fps::bourrasque::ForgiaBourrasquePlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;10778;0.000012;1;10778;10778;10778;0.000000
system_commands{name="bevy_render::extract_component::extract_components<bevy_post_process::bloom::settings::Bloom>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;7581636;0.008195;18162;417;202;21783;229.844421
system_commands{name="bevy_gizmos_render::extract_gizmo_data"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;1853994;0.002004;18162;102;51;9429;99.967710
system{name="bevy_render::extract_component::extract_components<bevy_hanabi::EffectVisibilityClass>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;7492415;0.008098;18163;412;131;18505;405.778860
system{name="forgia_killfeed::ingest_kill_events"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;10156283;0.010977;18163;559;218;52793;527.171425
plugin cleanup{plugin="bevy_render::render_phase::SortedRenderPhasePlugin<bevy_core_pipeline::core_3d::Transparent3d, bevy_pbr::render::mesh::MeshPipeline>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;55;0.000000;1;55;55;55;0.000000
plugin finish{plugin="bevy_render::extract_component::UniformComponentPlugin<bevy_gizmos_render::LineGizmoUniform>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;98;0.000000;1;98;98;98;0.000000
system{name="bevy_asset::assets::Assets<forgia_genome_core::Genome<forgia_fps::FpsTuning>>::asset_events_condition"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;1694287;0.001831;18163;93;53;1019;53.434624
system{name="forgia_mode_roguelite::parcours_obstacles::sys_reset_obstacle_stats"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;181;0.000000;1;181;181;181;0.000000
system_commands{name="bevy_egui::render::extract_egui_camera_view_system"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;40796827;0.044095;18162;2246;973;67570;956.510039
plugin build{plugin="bevy_pbr::material::MaterialPlugin<bevy_pbr::extended_material::ExtendedMaterial<bevy_pbr::pbr_material::StandardMaterial, bevy_water::water::material::WaterMaterial>>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;148383;0.000160;1;148383;148383;148383;0.000000
system{name="forgia_observability::lifecycle_sensor::obs_target_cube_removed"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;1104;0.000001;8;138;77;290;81.489701
plugin cleanup{plugin="forgia_stage::graph::ForgiaStageGraphPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;55;0.000000;1;55;55;55;0.000000
plugin finish{plugin="bevy_water::water::WaterPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;54;0.000000;1;54;54;54;0.000000
system{name="forgia_mode_roguelite::element_vfx::sys_spawn_reaction_vfx"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;8463163;0.009147;17308;488;218;20685;323.271878
node{name="bevy_render::render_graph::node::ViewNodeRunner<bevy_pbr::ssao::SsaoNode>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_render-0.18.1\src\renderer\graph_runner.rs;240;5880249;0.006356;36324;161;59;23287;164.362505
plugin build{plugin="bevy_render::sync_component::SyncComponentPlugin<bevy_post_process::dof::DepthOfField>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;2476;0.000003;1;2476;2476;2476;0.000000
system{name="bevy_asset::assets::Assets<bevy_pbr::extended_material::ExtendedMaterial<bevy_pbr::pbr_material::StandardMaterial, bevy_water::water::material::WaterMaterial>>::track_assets"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;30207720;0.032650;18163;1663;205;578205;11607.241021
system_commands{name="bevy_post_process::dof::extract_depth_of_field_settings"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;1348902;0.001458;18162;74;51;1290;16.357280
system{name="bevy_asset::assets::Assets<forgia_genome_core::Genome<forgia_viewmodel::genome::ViewmodelGenome>>::track_assets"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;22194717;0.023989;18163;1221;184;476643;7613.777978
plugin cleanup{plugin="bevy_render::camera::CameraPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;58;0.000000;1;58;58;58;0.000000
system{name="leafwing_input_manager::systems::swap_to_update<forgia_input::PlayerAction>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;6959133;0.007522;18163;383;60;84510;1106.255077
system{name="bevy_render::extract_component::extract_components<bevy_post_process::bloom::settings::Bloom>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;9069998;0.009803;18163;499;166;12154;234.055530
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="textures/vfx/kenney/smoke_01.png"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;890825;0.000963;5;178165;96;787293;343007.707010
plugin finish{plugin="forgia_ui_lib::shop_panel::ForgiaUiShopPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;52;0.000000;1;52;52;52;0.000000
system{name="forgia_viewmodel::pose::apply_viewmodel_sway_bob"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;19314914;0.020877;17308;1115;435;23741;453.307349
plugin build{plugin="bevy_render::sync_component::SyncComponentPlugin<bevy_post_process::motion_blur::MotionBlur>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;2426;0.000003;1;2426;2426;2426;0.000000
plugin build{plugin="forgia_juice_screen_flash::ForgiaJuiceScreenFlashPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;143071;0.000155;1;143071;143071;143071;0.000000
system_commands{name="bevy_core_pipeline::core_3d::prepare_prepass_textures"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;14993420;0.016206;18162;825;346;42791;520.079500
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_pbr\\render\\fog.wgsl"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;135862;0.000147;2;67931;56;135806;95989.745546
system{name="bevy_pbr::light_probe::generate::initialize_generated_environment_map_resources"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;117461;0.000127;1;117461;117461;117461;0.000000
plugin cleanup{plugin="bevy_ui_render::box_shadow::BoxShadowPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;55;0.000000;1;55;55;55;0.000000
