name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
plugin finish{plugin="forgia_auto_rig::ForgiaAutoRigPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,58,0.000000,1,58,58,58,0.000000
system{name="forgia_observability::lifecycle_sensor::obs_arena_bot_removed"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,1908,0.000001,26,73,55,143,23.716661
system{name="forgia_mode_roguelite::weapon_select::sys_hide_crosshair_at_lobby"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,206,0.000000,1,206,206,206,0.000000
plugin cleanup{plugin="bevy_pbr::prepass::PrepassPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,292,57,0.000000,1,57,57,57,0.000000
system{name="bevy_pbr::material::prepare_material_bind_groups"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,8397888996,6.527746,27078,310136,176042,8444006,108180.739685
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="ui/menu_video/frame_0129.webp"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,14638845,0.011379,7,2091263,172,14606042,5518499.993272
plugin finish{plugin="forgia_audio::ForgiaAudioCorePlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,60,0.000000,1,60,60,60,0.000000
plugin finish{plugin="bevy_render::extract_component::ExtractComponentPlugin<bevy_pbr::ssr::ScreenSpaceReflections>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,55,0.000000,1,55,55,55,0.000000
system_commands{name="forgia_mode_roguelite::poi::sys_reconcile_poi_anchors"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,2825360,0.002196,25752,109,50,315913,2181.406456
system{name="bevy_render::camera::sort_cameras"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,71648747,0.055693,27078,2646,1382,130584,1464.161019
plugin build{plugin="bevy_gizmos::aabb::AabbGizmoPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,46541,0.000036,1,46541,46541,46541,0.000000
system{name="bevy_ui_render::ui_texture_slice_pipeline::extract_ui_texture_slices"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,16425042,0.012767,27079,606,147,70627,541.706765
system{name="bevy_render::apply_extract_commands"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,2979965602,2.316351,27078,110051,59990,3627352,33528.064084
system{name="forgia_ui_lib::hud::wave_counter::draw_wave_counter"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,8104533,0.006300,26988,300,86,34817,259.811545
system{name="forgia_juice_lib::knockback::sys_tick_knockback"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,14626890,0.011370,27079,540,131,78741,634.919484
plugin cleanup{plugin="bevy_core_pipeline::CorePipelinePlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,292,1133,0.000001,1,1133,1133,1133,0.000000
plugin finish{plugin="bevy_sprite_render::mesh2d::material::Material2dPlugin<bevy_sprite_render::mesh2d::color_material::ColorMaterial>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,116,0.000000,1,116,116,116,0.000000
system{name="bevy_asset::assets::Assets<forgia_genome_core::Genome<forgia_mode_fps_arena::ArenaBotsGenome>>::track_assets"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,42781371,0.033254,27079,1579,156,1564236,15470.022946
system{name="forgia_mode_roguelite::reset_wave_resource"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,175,0.000000,1,175,175,175,0.000000
system{name="bevy_asset::assets::Assets<bevy_sprite_render::mesh2d::color_material::ColorMaterial>::asset_events"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,2214,0.000002,1,2214,2214,2214,0.000000
plugin build{plugin="bevy_diagnostic::entity_count_diagnostics_plugin::EntityCountDiagnosticsPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,2187,0.000002,1,2187,2187,2187,0.000000
system{name="bevy_asset::assets::Assets<bevy_image::texture_atlas::TextureAtlasLayout>::asset_events"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,7974,0.000006,14,569,396,989,159.789766
plugin cleanup{plugin="bevy_picking::InteractionPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,292,52,0.000000,1,52,52,52,0.000000
plugin finish{plugin="forgia_observability::ForgiaObservabilityPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,56,0.000000,1,56,56,56,0.000000
system{name="forgia_mode_roguelite::mushrooms::sys_reconcile_mushrooms"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,19992906,0.015541,25752,776,331,221633,1821.372304
system_commands{name="bevy_post_process::bloom::prepare_bloom_bind_groups"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,2605630,0.002025,27078,96,51,5418,48.096315
plugin build{plugin="bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,38107,0.000030,1,38107,38107,38107,0.000000
